Employee ID,Last Name,First Name,Birthday,Address,Phone Number,SSS,Philhealth,TIN,Pag-ibig,Status,Position,Immediate Supervisor,Basic Salary,Rice Subsidy,Phone Allowance,Clothing Allowance,Gross Semi Monthly Rate,Hourly Rate
10011,Salcedo,Anthony,9/14/93,"93/54 Shanahan Alley Apt. 183, Santo Tomas 1572 Masbate",070-766-300,26-9647608-3,126445000000,210-805-911-000,218002000000,Regular,Payroll Manager,"Alvaro, Roderick",50825,1500,1000,1000,25413,302.53
10012,Lopez,Josie ,1/14/87,"49 Springs Apt. 266, Poblacion, Taguig 3200 Occidental Mindoro",478-355-427,44-8563448-3,431709000000,218-489-737-000,113071000000,Regular,Payroll Team Leader,"Salcedo, Anthony",38475,1500,800,800,19238,229.02
10013,Farala,Martha,1/11/42,"42/25 Sawayn Stream, Ubay 1208 Zamboanga del Norte ",329-034-366,45-5656375-0,233694000000,210-835-851-000,631130000000,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,142.86
10014,Martinez,Leila,7/11/70,"37/46 Kulas Roads, Maragondon 0962 Quirino ",877-110-749,27-2090996-4,515741000000,275-792-513-000,101205000000,Regular,Payroll Rank and File,"Salcedo, Anthony",24000,1500,500,500,12000,142.86
10015,Romualdez,Fredrick ,3/10/85,"22A/52 Lubowitz Meadows, Pililla 4895 Zambales",023-079-009,26-8768374-1,308367000000,598-065-761-000,223058000000,Regular,Account Manager,"Lim, Antonio",53500,1500,1000,1000,26750,318.45
10016,Mata,Christian,10/21/87,"90 O'Keefe Spur Apt. 379, Catigbian 2772 Sulu ",783-776-744,49-2959312-6,824188000000,103-100-522-000,631053000000,Regular,Account Team Leader,"Romualdez, Fredrick ",42975,1500,800,800,21488,255.8
10017,De Leon,Selena ,2/20/75,"89A Armstrong Trace, Compostela 7874 Maguindanao",975-432-139,27-2090208-8,587272000000,482-259-498-000,719008000000,Regular,Account Team Leader,"Romualdez, Fredrick ",41850,1500,800,800,20925,249.11
10018,San Jose,Allison ,6/24/86,"08 Grant Drive Suite 406, Poblacion, Iloilo City 9186 La Union",179-075-129,45-3251383-0,745148000000,121-203-336-000,114902000000,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93
10019,Rosario,Cydney ,10/6/96,"93A/21 Berge Points, Tapaz 2180 Quezon",868-819-912,49-1629900-2,579253000000,122-244-511-000,265104000000,Regular,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93
10020,Bautista,Mark ,2/12/91,"65 Murphy Center Suite 094, Poblacion, Palayan 5636 Quirino",683-725-348,49-1647342-5,399665000000,273-970-941-000,260055000000,Regular,Account Rank and File,"Mata, Christian",23250,1500,500,500,11625,138.39
10021,Lazaro,Darlene ,11/25/85,"47A/94 Larkin Plaza Apt. 179, Poblacion, Caloocan 2751 Quirino",740-721-558,45-5617168-2,606387000000,354-650-951-000,104908000000,Probationary,Account Rank and File,"Mata, Christian",23250,1500,500,500,11625,138.39
10022,Delos Santos,Kolby ,2/26/80,"06A Gulgowski Extensions, Bongabon 6085 Zamboanga del Sur",739-443-033,52-0109570-6,357451000000,187-500-345-000,113018000000,Probationary,Account Rank and File,"Mata, Christian",24000,1500,500,500,12000,142.86
10023,Santos,Vella ,12/31/83,"99A Padberg Spring, Poblacion, Mabalacat 3959 Lanao del Sur",955-879-269,52-9883524-3,548670000000,101-558-994-000,360028000000,Probationary,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93
10024,Del Rosario,Tomas,12/18/78,"80A/48 Ledner Ridges, Poblacion, Kabankalan 8870 Marinduque",882-550-989,45-5866331-6,953902000000,560-735-732-000,913109000000,Probationary,Account Rank and File,"Mata, Christian",22500,1500,500,500,11250,133.93
10025,Tolentino,Jacklyn ,5/19/84,"96/48 Watsica Flats Suite 734, Poblacion, Malolos 1844 Ifugao",675-757-366,47-1692793-0,753801000000,841-177-857-000,210547000000,Probationary,Account Rank and File,"De Leon, Selena",24000,1500,500,500,12000,142.86
10026,Gutierrez,Percival ,12/18/70,"58A Wilderman Walks, Poblacion, Digos 5822 Davao del Sur",512-899-876,40-9504657-8,797639000000,502-995-671-000,210897000000,Probationary,Account Rank and File,"De Leon, Selena",24750,1500,500,500,12375,147.32
10027,Manalaysay,Garfield ,8/28/86,"60 Goyette Valley Suite 219, Poblacion, Tabuk 3159 Lanao del Sur",948-628-136,45-3298166-4,810909000000,336-676-445-000,211274000000,Probationary,Account Rank and File,"De Leon, Selena",24750,1500,500,500,12375,147.32
10028,Villegas,Lizeth ,12/12/81,"66/77 Mann Views, Luisiana 1263 Dinagat Islands",332-372-215,40-2400719-4,934390000000,210-395-397-000,122238000000,Probationary,Account Rank and File,"De Leon, Selena",24000,1500,500,500,12000,142.86
10029,Ramos,Carol ,8/20/78,"72/70 Stamm Spurs, Bustos 4550 Iloilo",250-700-389,60-1152206-4,351830000000,395-032-717-000,212142000000,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,133.93
10030,Maceda,Emelia ,4/14/73,"50A/83 Bahringer Oval Suite 145, Kiamba 7688 Nueva Ecija",973-358-041,54-1331005-0,465088000000,215-973-013-000,515013000000,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,133.93
10031,Aguilar,Delia ,1/27/89,"95 Cremin Junction, Surallah 2809 Cotabato",529-705-439,52-1859253-1,136451000000,599-312-588-000,110019000000,Probationary,Account Rank and File,"De Leon, Selena",22500,1500,500,500,11250,133.93
10032,Castro,John Rafael,2/9/92,"Hi-way, Yati, Liloan Cebu",332-424-955 ,26-7145133-4,601645000000,404-768-309-000,697764000000,Regular,Sales & Marketing,"Reyes, Isabella",52670,1500,1000,1000,26335,313.51
10033,Martinez,Carlos Ian,11/16/90,"Bulala, Camalaniugan",078-854-208,11-5062972-7,380685000000,256-436-296-000,993373000000,Regular,Supply Chain and Logistics,"Reyes, Isabella",52670,1500,1000,1000,26335,313.51
10034,Santos,Beatriz,8/7/90,"Agapita Building, Metro Manila",526-639-511,20-2987501-5,918460000000,911-529-713-000,874042000000,Regular,Customer Service and Relations,"Reyes, Isabella",52670,1500,1000,1000,26335,313.51
